,制度性集体行动,制造业,区域差异,协同立法,城市网络,府际合作,影响因素,模式选择,溢出效应,灰色关联度,生产性服务业,科技创新,税收协调,税收竞争,粤港澳大湾区,经济增长,经济高质量发展,金融集聚,门槛效应,驱动机制,高质量发展
制度性集体行动,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
制造业,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2
区域差异,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0
协同立法,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
城市网络,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
府际合作,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
影响因素,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
模式选择,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
溢出效应,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
灰色关联度,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
生产性服务业,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
科技创新,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
税收协调,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
税收竞争,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
粤港澳大湾区,3,4,3,3,4,3,4,3,3,3,3,3,4,3,0,8,3,5,4,3,4
经济增长,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,1,0,0
经济高质量发展,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
金融集聚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
门槛效应,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0
驱动机制,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
高质量发展,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
